ticker,display_name,asset_type,country,currency,sector,industry,exchange,provider,theme,is_dividend,is_leveraged,company_name,company_name_ko,aliases,status
441640.KS,KODEX 미국배당커버드콜액티브,국내ETF,KR,KRW,Dividend,Derivative Income,KOSPI,AssetOS,Dividend|Covered Call,true,false
458730.KS,TIGER 미국배당다우존스,국내ETF,KR,KRW,Dividend,Large Value,KOSPI,AssetOS,Dividend|Value,true,false
AAPL,Apple,미국주식,US,USD,Technology,Consumer Electronics,NASDAQ,AssetOS,Technology|Consumer,true,false
NVDA,NVIDIA,미국주식,US,USD,Technology,Semiconductors,NASDAQ,AssetOS,AI|Semiconductor,true,false
MSFT,Microsoft,미국주식,US,USD,Technology,Software,NASDAQ,AssetOS,AI|Cloud,true,false
GOOGL,Alphabet,미국주식,US,USD,Communication Services,Internet Content,NASDAQ,AssetOS,AI|Internet,false,false
GOOG,Alphabet Class C,미국주식,US,USD,Communication Services,Internet Content,NASDAQ,AssetOS,AI|Internet,false,false
AMZN,Amazon,미국주식,US,USD,Consumer Cyclical,Internet Retail,NASDAQ,AssetOS,Cloud|Consumer,false,false
META,Meta Platforms,미국주식,US,USD,Communication Services,Internet Content,NASDAQ,AssetOS,AI|Social,false,false
TSLA,Tesla,미국주식,US,USD,Consumer Cyclical,Auto Manufacturers,NASDAQ,AssetOS,EV,false,false
AVGO,Broadcom,미국주식,US,USD,Technology,Semiconductors,NASDAQ,AssetOS,AI|Semiconductor,true,false
AMD,Advanced Micro Devices,미국주식,US,USD,Technology,Semiconductors,NASDAQ,AssetOS,AI|Semiconductor,false,false
PLTR,Palantir Technologies,미국주식,US,USD,Technology,Software,NASDAQ,AssetOS,AI|Software,false,false
NFLX,Netflix,미국주식,US,USD,Communication Services,Entertainment,NASDAQ,AssetOS,Streaming,false,false
KO,Coca-Cola,미국주식,US,USD,Consumer Defensive,Beverages,NYSE,AssetOS,Dividend|Consumer,true,false
JNJ,Johnson & Johnson,미국주식,US,USD,Healthcare,Drug Manufacturers,NYSE,AssetOS,Healthcare|Dividend,true,false
JPM,JPMorgan Chase,미국주식,US,USD,Financial Services,Banks,NYSE,AssetOS,Finance|Dividend,true,false
SPY,SPDR S&P 500 ETF Trust,미국ETF,US,USD,Broad Market,Large Blend,NYSE Arca,AssetOS,US Market|Core,true,false
VOO,Vanguard S&P 500 ETF,미국ETF,US,USD,Broad Market,Large Blend,NYSE Arca,AssetOS,US Market|Core,true,false
QQQ,Invesco QQQ Trust,미국ETF,US,USD,Technology,Large Growth,NASDAQ,AssetOS,Technology|Growth,true,false
QLD,ProShares Ultra QQQ,미국ETF,US,USD,Technology,Trading Leveraged Equity,NYSE Arca,AssetOS,Technology|Leveraged,false,true
SCHD,Schwab US Dividend Equity ETF,미국ETF,US,USD,Dividend,Large Value,NYSE Arca,AssetOS,Dividend|Value,true,false
TLT,iShares 20+ Year Treasury Bond ETF,미국ETF,US,USD,Fixed Income,Government Bonds,NASDAQ,AssetOS,Treasury|Duration,true,false
SGOV,iShares 0-3 Month Treasury Bond ETF,미국ETF,US,USD,Fixed Income,Government Bonds,NYSE Arca,AssetOS,Cash Equivalent|Treasury,true,false
TQQQ,ProShares UltraPro QQQ,미국ETF,US,USD,Technology,Trading Leveraged Equity,NASDAQ,AssetOS,Technology|Leveraged,false,true
SQQQ,ProShares UltraPro Short QQQ,미국ETF,US,USD,Technology,Trading Inverse Equity,NASDAQ,AssetOS,Technology|Inverse|Leveraged,false,true
SOXL,Direxion Daily Semiconductor Bull 3X Shares,미국ETF,US,USD,Semiconductors,Trading Leveraged Equity,NYSE Arca,AssetOS,AI|Semiconductor|Leveraged,false,true
BTC,Bitcoin,코인,GLOBAL,USD,Cryptocurrency,Digital Asset,CoinGecko,AssetOS,Crypto,false,false
ETH,Ethereum,코인,GLOBAL,USD,Cryptocurrency,Smart Contract Platform,CoinGecko,AssetOS,Crypto|Smart Contract,false,false
